,county,case_id,state,areaname,median_family_income,total_cost,index
950,Laramie,3159,WY,"Cheyenne, WY MSA",82057.7734375,81932.74128,0.36472763324914176
951,Larimer,280,CO,"Fort Collins, CO MSA",94303.703125,91469.7474,0.3850307905297533
952,Larue,1061,KY,"Elizabethtown, KY HUD Metro FMR Area",59143.125,67957.41984,0.27427640748797477
953,Las Animas,281,CO,"Las Animas County, CO",56722.8984375,68590.8768,0.2444159487458105
954,Lassen,204,CA,"Lassen County, CA",68068.296875,79986.82896,0.2609716094918205
955,Latah,586,ID,"Latah County, ID",72920.0546875,68345.53572,0.40980958788578287
956,Latimer,2197,OK,"Latimer County, OK",53576.703125,69740.62127999999,0.20392438996966375
957,Lauderdale,39,AL,"Florence-Muscle Shoals, AL MSA",55742.62109375,61341.37636,0.3007654865375879
958,Laurel,1062,KY,"Laurel County, KY",51713.01171875,59820.406440000006,0.2702609688095538
959,Laurens,480,GA,"Laurens County, GA",50306.775390625,59537.56782,0.2568117155818451
960,Lavaca,2695,TX,"Lavaca County, TX",71773.0859375,61929.7032,0.47323004824964654
961,Lawrence,40,AL,"Decatur, AL MSA",59247.76917613636,64666.08286909091,0.3059232089161431
962,Le Flore,2198,OK,"Le Flore County, OK HUD Metro FMR Area",51260.18359375,69358.701,0.18381939125744182
963,Le Sueur,1375,MN,"Le Sueur County, MN HUD Metro FMR Area",90169.703125,87207.6648,0.38708679236171434
964,Lea,1836,NM,"Lea County, NM",68769.6171875,72762.58308,0.3258514575167251
965,Leake,1462,MS,"Leake County, MS",50814.5390625,59072.479799999994,0.2673216479261773
966,Leavenworth,946,KS,"Kansas City, MO-KS HUD Metro FMR Area",88034.9296875,80385.86352,0.4292620165126542
967,Lebanon,2309,PA,"Lebanon, PA MSA",75450.1484375,75877.13376,0.3597970997535856
968,Lee,41,AL,"Albany, GA MSA",62193.741861979164,65586.42725,0.3280213688856203
969,Leelanau,1297,MI,"Leelanau County, MI",82568.109375,90669.27108,0.30209135119638675
970,Leflore,1464,MS,"Leflore County, MS",37621.87890625,57309.134880000005,0.12689569860519562
971,Lehigh,2310,PA,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",78469.0234375,82341.29052000001,0.3312618815244834
972,Lemhi,587,ID,"Lemhi County, ID",58828.91796875,73233.5382,0.2281020320307296
973,Lenawee,1298,MI,"Lenawee County, MI",69302.546875,67261.94664000001,0.3845866795713842
974,Lenoir,1971,NC,"Lenoir County, NC",51762.30078125,66863.9136,0.2080020424168689
975,Leon,362,FL,"Leon County, TX",69106.93359375,66886.31700000001,0.38655917638497894
976,Leslie,1065,KY,"Leslie County, KY",41081.2578125,61420.791000000005,0.13542650595537098
977,Letcher,1066,KY,"Letcher County, KY",37841.62109375,61242.46139999999,0.10030799638849283
978,Levy,363,FL,"Levy County, FL",47944.5625,63764.63232,0.1926693840675563
979,Lewis,588,ID,"Lewis County, ID",57232.35044642857,67926.31105714286,0.2551621370549954
980,Lewis and Clark,1645,MT,"Lewis and Clark County, MT",88288.5546875,78263.1438,0.4519693011911902
981,Lexington,2377,SC,"Columbia, SC HUD Metro FMR Area",76528.3203125,69201.39395999999,0.436653610163847
982,Lexington city,2962,VA,"Rockbridge County-Buena Vista city-Lexington city, VA HUD Nonmetr",73470.4296875,66127.24392000001,0.44021570829022355
983,Liberty,364,FL,"Hinesville, GA HUD Metro FMR Area",55375.189453125,68762.77605,0.22948190380291603
984,Licking,2115,OH,"Columbus, OH HUD Metro FMR Area",81467.3515625,70377.55716,0.47228663590477704
985,Limestone,42,AL,"Huntsville, AL MSA",66408.435546875,66785.89716000001,0.3597802192225085
986,Lincoln,151,AR,"Lincoln County, CO",66735.12143342392,70483.67564869566,0.32701861187028336
987,Lincoln Parish,1150,LA,"Lincoln Parish, LA",56342.97265625,68089.35192,0.24476845269282013
988,Linn,852,IA,"Albany, OR MSA",68459.2626953125,71434.46618999999,0.3349684716118213
989,Lipscomb,2700,TX,"Lipscomb County, TX",68540.640625,65089.81524,0.4002179227389795
990,Litchfield,313,CT,"Litchfield County, CT",104093.4609375,85104.81924000001,0.5174642073018209
991,Little River,152,AR,"Little River County, AR HUD Metro FMR Area",61411.38671875,64358.14752,0.33211665340543317
992,Live Oak,2701,TX,"Live Oak County, TX",71089.21875,61307.33136,0.4736508318722999
993,Livingston,654,IL,"Livingston County, IL",74961.38359375,71562.19271999999,0.39641557839406677
994,Livingston Parish,1151,LA,"Baton Rouge, LA HUD Metro FMR Area",78699.03125,74559.88488,0.40193971329428846
995,Llano,2702,TX,"Llano County, TX",64507.265625,61160.7018,0.4013904845653952
996,Logan,153,AR,"Logan County, AR",65496.408203125,68505.45396,0.33340056335038143
997,Long,484,GA,"Long County, GA HUD Metro FMR Area",60126.82421875,63515.3718,0.32690368247427015
998,Lonoke,154,AR,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",72089.3515625,69577.93956,0.388554644875639
999,Lorain,2117,OH,"Cleveland-Elyria, OH MSA",75990.2578125,65577.10044,0.47312537302101065
1000,Los Alamos,1838,NM,"Los Alamos County, NM",154364.8125,80264.67335999999,1.0
1001,Los Angeles,205,CA,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",78729.8359375,97766.38703999999,0.22946651159070955
1002,Loudon,2510,TN,"Knoxville, TN HUD Metro FMR Area",70669.25,65364.68688000001,0.41961165426491365
1003,Loudoun,2902,VA,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",164479.046875,110799.4266,0.6976060631355694
1004,Louisa,853,IA,"Louisa County, IA",74234.390625,68879.08854,0.41726538821391623
1005,Loup,1734,NE,"Loup County, NE",64747.54296875,80252.85612,0.23050656182981652
1006,Love,2201,OK,"Love County, OK",62842.78125,69902.87136,0.29406139615815696
1007,Loving,2703,TX,"Loving County, TX",105677.859375,64796.93964,0.7985363609759542
1008,Lowndes,43,AL,"Lowndes County, MS",54862.630208333336,65187.06740000001,0.2545094434446956
1009,Lubbock,2704,TX,"Lubbock, TX HUD Metro FMR Area",71320.2578125,67056.88440000001,0.4074979653853989
1010,Lucas,854,IA,"Lucas County, IA",68844.06640625,65490.8919,0.3989664027523318
1011,Luce,1300,MI,"Luce County, MI",63849.0703125,70483.86384,0.2987941942485809
1012,Lumpkin,486,GA,"Lumpkin County, GA",66585.5625,66986.85527999999,0.35954669502246434
1013,Luna,1839,NM,"Luna County, NM",44444.11328125,63546.60156,0.15647974620436642
1014,Lunenburg,2904,VA,"Lunenburg County, VA",54502.8984375,66232.14288,0.24161250125341915
1015,Luzerne,2311,PA,"Scranton--Wilkes-Barre, PA MSA",70272.890625,69615.22188,0.37018738415713176
1016,Lycoming,2312,PA,"Williamsport, PA MSA",68613.546875,72200.67828,0.3294313727347875
1017,Lyman,2433,SD,"Lyman County, SD",60582.73828125,69243.2616,0.27746721932760887
1018,Lynchburg city,2963,VA,"Lynchburg, VA MSA",63529.7265625,70634.64431999999,0.2943451659173526
1019,Lynn,2705,TX,"Lynn County, TX HUD Metro FMR Area",57602.88671875,65508.7632,0.2804928149092798
1020,Lyon,855,IA,"Lyon County, IA",71117.15078125,66821.061504,0.4079900863967921
1021,Mackinac,1301,MI,"Mackinac County, MI",59829.046875,66423.97752,0.2952422240043413
1022,Macomb,1302,MI,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",79365.4375,74762.01444,0.4061166160174544
1023,Macon,44,AL,"Decatur, IL MSA",56091.229166666664,66128.28288,0.25905865209561474
1024,Macoupin,660,IL,"Macoupin County, IL HUD Metro FMR Area",69202.9375,75018.32808,0.3102445428121224
1025,Madera,206,CA,"Madera, CA MSA",63043.01171875,80317.881,0.21542863477311017
1026,Madison,45,AL,"Anderson, IN HUD Metro FMR Area",68741.78762335527,70440.92965263157,0.34704977071185733
1027,Madison Parish,1152,LA,"Madison Parish, LA",37241.953125,63872.530920000005,0.07629990963514496
1028,Magoffin,1076,KY,"Magoffin County, KY",36783.98828125,60384.786360000006,0.09428483799851585
1029,Mahaska,857,IA,"Mahaska County, IA",70430.0,62607.492000000006,0.4497957077426462
1030,Mahnomen,1379,MN,"Mahnomen County, MN",55191.8984375,64916.47788,0.26042349549212734
1031,Mahoning,2120,OH,"Youngstown-Warren-Boardman, OH HUD Metro FMR Area",63328.46875,63494.0046,0.3618788172368586
1032,Major,2205,OK,"Major County, OK",64637.671875,70404.05568,0.3072224457331357
1033,Malheur,2258,OR,"Malheur County, OR",51497.37890625,71367.84804,0.17176943157160313
1034,Manassas Park city,2965,VA,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",92252.109375,103719.42588,0.28747043047907966
1035,Manassas city,2964,VA,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",89286.6328125,95689.42104,0.3175558211267302
1036,Manatee,366,FL,"North Port-Sarasota-Bradenton, FL MSA",73525.8828125,75717.40752,0.3437261830873822
1037,Manistee,1303,MI,"Manistee County, MI",62706.21484375,66893.00508,0.3205353782078895
1038,Manitowoc,3112,WI,"Manitowoc County, WI",74558.8671875,67540.94652,0.4352942892547239
1039,Marathon,3113,WI,"Wausau, WI MSA",78719.5625,71811.74064,0.42997824102635684
1040,Marengo,46,AL,"Marengo County, AL",60636.1328125,66380.65368,0.30402776114667734
1041,Maricopa,104,AZ,"Phoenix-Mesa-Scottsdale, AZ MSA",78828.40625,82847.376,0.3302393717528858
1042,Maries,1568,MO,"Maries County, MO",65895.53125,67179.74652,0.3504998048474686
1043,Marin,207,CA,"San Francisco, CA HUD Metro FMR Area",157777.984375,157044.0318,0.3668970915225935
1044,Marinette,3114,WI,"Marinette County, WI",62542.94921875,66861.31692,0.3191585239620394
1045,Marion,47,AL,"Chattanooga, TN-GA MSA",59118.72403492647,66216.58752,0.28979276536132414
1046,Mariposa,208,CA,"Mariposa County, CA",61921.71875,76571.78112,0.23180319194330948
1047,Marlboro,2380,SC,"Marlboro County, SC",44144.27734375,56527.08672,0.21268640197778085
1048,Marquette,1304,MI,"Marquette County, MI",68205.37890625,70580.9229,0.34047731301435014
1049,Marshall,48,AL,"Marshall County, AL",66624.92415364583,67512.45203,0.354614674985238
1050,Martin,368,FL,"Martin County, IN",66824.12825520833,66264.1981,0.36950003049660973
1051,Martinsville city,2966,VA,"Henry County-Martinsville city, VA HUD Nonmetro FMR Area",45913.5,63918.453480000004,0.16952033789341148
1052,Mason,664,IL,"Mason County, IL",64321.752604166664,67459.67474,0.33161444883924013
1053,Massac,665,IL,"Massac County, IL",62665.140625,72125.06603999999,0.2732722751825204
1054,Matagorda,2713,TX,"Matagorda County, TX",61672.19921875,62331.974160000005,0.3563800663599046
1055,Matanuska-Susitna Borough,84,AK,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",93137.2265625,87553.59048,0.4076326919057403
1056,Mathews,2906,VA,"Virginia Beach-Norfolk-Newport News, VA-NC HUD Metro FMR Area",68953.421875,77641.60475999999,0.2865466884389261
1057,Maui,557,HI,"Kahului-Wailuku-Lahaina, HI MSA",92012.8515625,109523.2848,0.25347765000083916
1058,Maury,2517,TN,"Maury County, TN HUD Metro FMR Area",69890.9140625,70998.97248,0.35291871567651345
1059,Maverick,2714,TX,"Maverick County, TX",45758.44921875,57945.702359999996,0.21870902725498376
1060,Mayes,2207,OK,"Mayes County, OK",61563.35546875,74031.42228,0.24759326061043008
1061,McClain,2202,OK,"Oklahoma City, OK HUD Metro FMR Area",80288.5546875,74136.60828,0.4208715381580399
1062,McCone,1648,MT,"McCone County, MT",64176.62890625,74732.71236,0.26631683587119825
1063,McCook,2434,SD,"Sioux Falls, SD MSA",78375.578125,68187.2004,0.4666636583397391
1064,McCormick,2378,SC,"McCormick County, SC",62168.15625,57039.306599999996,0.4256526603267031
1065,McCracken,1072,KY,"McCracken County, KY",66763.203125,68785.56048,0.34341089638724476
1066,McCreary,1073,KY,"McCreary County, KY",35588.765625,60352.10076,0.08086199213433422
1067,McCulloch,2706,TX,"McCulloch County, TX",60591.9765625,62970.17004,0.3376444777956407
1068,McCurtain,2203,OK,"McCurtain County, OK",48842.0078125,69868.45836,0.15624718247594407
1069,McDonald,1565,MO,"McDonald County, MO HUD Metro FMR Area",48671.5546875,64603.6638,0.19369495161979816
